species,p_raw,clr_fc,mean_CD,mean_H,p_adj,-log10p,significant,direction
Anaerotruncus colihominis,2.6494533865812574e-11,0.5315105856463442,-0.9378232927887453,-1.4693338784350896,8.080832829072836e-11,10.092543877538334,False,ns
Lactobacillus rogosae,2.6000279982639974e-11,0.48340477610696375,-1.2707443313540907,-1.7541491074610545,8.080832829072836e-11,10.092543877538334,False,ns
Bifidobacterium pseudocatenulatum,4.1474711224009776e-11,0.43024985453184894,-1.090872624900474,-1.521122479432323,1.2341255534949252e-10,9.908640655200443,False,ns
Alistipes putredinis,4.7176130916789096e-11,-2.135989329735294,2.4322641770581472,4.568253506793441,1.3703542790114928e-10,9.863167139756687,True,Lower in CD
Holdemania filiformis,7.966096673682799e-11,0.46151672936881527,-0.9694243056853319,-1.4309410350541472,2.2601483585797707e-10,9.645863052357988,False,ns
Dialister invisus,1.3970810496255443e-10,0.8438702565799631,0.343162713024209,-0.5007075435557541,3.873724728507191e-10,9.411871244003562,False,ns
Streptococcus thermophilus,2.69267275754669e-10,0.22930415681410965,-1.45378808573486,-1.6830922425489696,7.300135031571025e-10,9.13666910660231,False,ns
Intestinimonas butyriciproducens,2.905087977871195e-10,0.623415878882378,-0.5646966450778903,-1.1881125239602683,7.704798550006213e-10,9.113238711879294,False,ns
Sellimonas intestinalis,4.066511376267641e-10,0.1682906364973098,-1.5265307564881423,-1.694821392985452,1.055562527456707e-09,8.97651603566271,False,ns
Roseburia inulinivorans,5.537472437524804e-10,-1.3309622874237979,1.0981543678824208,2.4291166553062187,1.407440911204221e-09,8.85156982914207,True,Lower in CD
Eisenbergiella tayi,2.63197014481324e-09,0.38140132822079065,-1.1835526439496977,-1.5649539721704884,6.55306852382072e-09,8.183555290709874,False,ns
Turicimonas muris,7.955739218637e-09,0.4818678940166057,-0.597472545912465,-1.0793404399290707,1.9412003693474278e-08,7.7119296347246,False,ns
Alistipes finegoldii,2.509565757971749e-08,-1.3052641207825846,1.377937865521646,2.6832019863042307,5.942605816637042e-08,7.226023076293529,True,Lower in CD
Proteobacteria bacterium CAG 139,2.5329139546321814e-08,0.7457704418040917,0.1006722246588797,-0.645098217145212,5.942605816637042e-08,7.226023076293529,False,ns
Paraprevotella xylaniphila,3.847412305821445e-08,0.04484936133378903,-1.190645133091068,-1.235494494424857,8.856307571890874e-08,7.052747309196241,False,ns
Ruminococcus torques,4.320891321000383e-08,-0.8626173673121171,0.3247957593489972,1.1874131266611143,9.762013725223088e-08,7.01046058606851,False,ns
Alistipes indistinctus,4.647266799692047e-08,0.4400676285923154,-0.7543165023458808,-1.1943841309381962,1.0308482719316903e-07,6.986805252768876,False,ns
Veillonella infantium,5.122021998652565e-08,0.18807067003375977,-1.199496805294706,-1.3875674753284657,1.1158690782778801e-07,6.952386756936859,False,ns
Roseburia hominis,1.1291049191344105e-07,-0.948268355299144,0.8710750803771607,1.8193434356763047,2.416680704112247e-07,6.616780725513862,False,ns
Escherichia coli,4.888592646402538e-07,0.912890801169097,1.0025764134359025,0.08968561226680553,1.0282901773467408e-06,5.9878843127362655,False,ns
Coprococcus catus,1.2844646297317313e-06,0.2304670016494359,-1.1768851915815643,-1.4073521932310002,2.656011607241885e-06,5.575770031355946,False,ns
Veillonella parvula,1.5067125022293057e-06,0.4709282991828058,-0.019678282583382802,-0.4906065817661886,3.0636487545329216e-06,5.513761027783673,False,ns
Bifidobacterium bifidum,4.823787183101153e-06,0.1919196914856358,-0.9182663791233148,-1.1101860706089506,9.647574366202306e-06,5.015581865080295,False,ns
Eubacterium ramulus,4.904014730809277e-06,0.3030246866131514,-1.0495201213398886,-1.35254480795304,9.64983543804406e-06,5.015480092765926,False,ns
Veillonella dispar,9.2182489093703e-06,0.09088543219141032,-0.7817395342485928,-0.8726249664400031,1.7851212173701215e-05,4.748332288096585,False,ns
Gemmiger formicilis,2.63482517554485e-05,-0.659664925963913,-1.1983359492832517,-0.5386710233193387,5.02263549088237e-05,4.299068338870629,False,ns
Ruminococcus bicirculans,5.809225610504133e-05,-1.0351894585844137,0.04735414700124817,1.0825436055856619,0.00010903469607407755,3.9624352826483,True,Lower in CD
Eubacterium ventriosum,0.00032923756710954386,-0.824785176330863,-0.8347820034046705,-0.009996827073807424,0.0006085906543540052,3.2156747210439853,False,ns
Bifidobacterium adolescentis,0.0003592704701582496,-0.9032112455768184,-0.9594009635781826,-0.05618971800136419,0.0006541939904374097,3.1842934497125035,False,ns
