species,p_raw,clr_fc,mean_UC,mean_H,p_adj,-log10p,significant,direction
Oscillibacter sp 57 20,0.00010161922165212552,-1.3146864209277507,0.21325351918547045,1.5279399401132212,0.00022138473288498773,3.6548523322035584,True,Lower in UC
Veillonella infantium,0.0002061281248145862,0.1275515060324841,-1.2600159692959816,-1.3875674753284657,0.00044118651276104417,3.3553777725758764,False,ns
Akkermansia muciniphila,0.00026393471690132147,-1.4089245372850991,-0.6692502591259529,0.7396742781591462,0.0005551730252062279,3.2555716435774915,True,Lower in UC
Eubacterium siraeum,0.0003802404448457011,-1.3961715735297873,-0.22762847165130354,1.1685431018784838,0.000778377008491173,3.1088100006339507,True,Lower in UC
Bifidobacterium pseudocatenulatum,0.0003828083648317244,0.15133497287471753,-1.3697875065576055,-1.521122479432323,0.000778377008491173,3.1088100006339507,False,ns
Paraprevotella xylaniphila,0.0004347866941023624,-0.04972656954992205,-1.285221063974779,-1.235494494424857,0.0008695733882047248,3.0606937595527257,False,ns
Bifidobacterium longum,0.0004561512464425192,0.5724327659450137,0.8676769401235108,0.2952441741784971,0.0008856937140972394,3.0527164375651394,False,ns
Eubacterium ramulus,0.000457366426132181,0.21637279648857155,-1.1361720114644684,-1.35254480795304,0.0008856937140972394,3.0527164375651394,False,ns
Bacteroides fragilis,0.0007488481209073453,0.8101471245043469,1.4517188863682593,0.6415717618639124,0.001427491730479627,2.845426398961252,False,ns
Parasutterella excrementihominis,0.0007974252395962175,0.671302734854573,1.4806065408502929,0.8093038059957198,0.0014967058343190542,2.8248635484116225,False,ns
Ruminococcus bicirculans,0.0010537341331955357,-0.8942493831202418,0.18829422246542,1.0825436055856619,0.0019478115795432628,2.7104530566578133,False,ns
Escherichia coli,0.0011189517836835295,0.5032111196660192,0.5928967319328247,0.08968561226680553,0.0020374942926774716,2.6909035991092876,False,ns
Veillonella dispar,0.001785079514034701,0.11312914070096536,-0.7594958257390377,-0.8726249664400031,0.003202642657532846,2.494491516072133,False,ns
Barnesiella intestinihominis,0.001888724816234242,-1.521753585592779,-0.27875953469910597,1.2429940508936732,0.0033394844576895293,2.4763205734465537,True,Lower in UC
Fusicatenibacter saccharivorans,0.002790066625298489,-0.7489440697642238,1.8037384631769295,2.5526825329411533,0.004862687546948795,2.31312363522218,False,ns
Roseburia faecis,0.0038080765312462784,-1.0129554448328448,1.8207491534403675,2.8337045982732123,0.006543455448056986,2.184192850190093,True,Lower in UC
