species,p_raw,clr_fc,mean_CD,mean_UC,p_adj,-log10p,significant,direction
Holdemania filiformis,0.44062257632188895,-0.03435401613279898,-0.9694243056853319,-0.9350702895525329,0.5599578574090672,0.2518446568927209,False,ns
Coprococcus comes,0.4653293066734262,-0.1337569034117297,0.3560058926488381,0.4897627960605678,0.5810685303917581,0.23577264451870802,False,ns
Alistipes shahii,0.4673439483826163,0.1518661521449427,-0.20919858074479086,-0.36106473288973356,0.5810685303917581,0.23577264451870802,False,ns
Bacteroides faecis CAG 32,0.4715228238424922,-0.1351814194812897,-1.30460656878905,-1.1694251493077603,0.5810685303917581,0.23577264451870802,False,ns
Lachnospira pectinoschiza,0.5054037542251693,-0.3343661865634838,-0.07125344302457681,0.263112743538907,0.6165925801547065,0.21000170571599128,False,ns
Streptococcus thermophilus,0.5641534771666626,-0.0871226359622379,-1.45378808573486,-1.366665449772622,0.6814527149933944,0.1665642738423631,False,ns
Agathobaculum butyriciproducens,0.5844928133586698,-0.029874034250613163,-0.17593346546759644,-0.14605943121698328,0.6990992473505657,0.15546116543167307,False,ns
Haemophilus sp HMSC71H05,0.6047072771146479,-0.1806510061959281,-1.2669606309753392,-1.086309624779411,0.7027902338048578,0.15317428222815022,False,ns
Barnesiella intestinihominis,0.5941808631429248,0.1292062382830281,-0.14955329641607787,-0.27875953469910597,0.7027902338048578,0.15317428222815022,False,ns
Anaerotignum lactatifermentans,0.6048604471271317,-0.12384581623726587,-0.9627526842256116,-0.8389068679883457,0.7027902338048578,0.15317428222815022,False,ns
Ruminococcus torques,0.634741317343739,0.008176815198820464,0.3247957593489972,0.3166189441501767,0.7305513275088317,0.13634926573822512,False,ns
Anaerostipes hadrus,0.6695406700533765,-0.07753236924210105,2.0633891029729017,2.1409214722150027,0.7634015116496442,0.11724698441777011,False,ns
Flavonifractor plautii,0.6956325810606787,0.11229486663131683,3.3246396334892276,3.212344766857911,0.7858071749018778,0.10468401013089622,False,ns
Eubacterium ramulus,0.7309853230037802,0.08665189012457986,-1.0495201213398886,-1.1361720114644684,0.8052402667723456,0.09407451594957303,False,ns
Streptococcus salivarius,0.7296651689862078,0.008272846134203315,-0.9739422579532215,-0.9822151040874249,0.8052402667723456,0.09407451594957303,False,ns
Collinsella intestinalis,0.7326366361617243,-0.18831681110521203,-1.4997555271555907,-1.3114387160503787,0.8052402667723456,0.09407451594957303,False,ns
Veillonella dispar,0.747719628724968,-0.022243708509555038,-0.7817395342485928,-0.7594958257390377,0.8144803098611259,0.08911941033892741,False,ns
Firmicutes bacterium CAG 83,0.7887954515341016,0.10970569716117168,-0.2719758138965441,-0.3816815110577158,0.8516198680279681,0.06975421515966496,False,ns
Intestinimonas butyriciproducens,0.8400639436608645,-0.14408193909604516,-0.5646966450778903,-0.42061470598184514,0.8685406875137751,0.06120983185267187,False,ns
Bacteroides cellulosilyticus,0.8392060913871481,-0.07342915754226181,-0.22653677050043564,-0.15310761295817382,0.8685406875137751,0.06120983185267187,False,ns
Blautia wexlerae,0.8237983679496579,0.06558443784253098,0.6771952426375397,0.6116108047950087,0.8685406875137751,0.06120983185267187,False,ns
Coprococcus catus,0.8385199470396352,-0.1443446429909716,-1.1768851915815643,-1.0325405485905927,0.8685406875137751,0.06120983185267187,False,ns
Erysipelatoclostridium ramosum,0.8352624462863762,-0.03542539418610979,-1.1422268389092607,-1.106801444723151,0.8685406875137751,0.06120983185267187,False,ns
Sellimonas intestinalis,0.8546756924376578,-0.27756001065890556,-1.5265307564881423,-1.2489707458292367,0.876222138465498,0.05738577821565892,False,ns
Streptococcus parasanguinis,0.9212369979903625,0.003617034585780554,-0.9621918413860602,-0.9658088759718407,0.9365909479568686,0.028450043939567102,False,ns
Monoglobus pectinilyticus,0.9458421516620553,-0.04738294251074704,-1.2942379404519984,-1.2468549979412513,0.950735189786193,0.02194043114828063,False,ns
Phascolarctobacterium faecium,0.950735189786193,-0.06247480298160621,-0.2693726616768702,-0.20689785869526398,0.950735189786193,0.02194043114828063,False,ns
